Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:47,7,93,,,,
2023-Apr-05 02:00:42,6,93,,,,
2023-Apr-06 02:11:52,6,93,,,,
2023-Apr-07 02:09:44,4,93,,,,
2023-Apr-08 02:06:32,4,93,,,,
2023-Apr-09 02:10:16,4,94,2022-03-07 20:53:26.882979,2022-03-24 11:25:41,2022-12-23 09:53:20.500000,2023-04-05 01:59:55
2023-Apr-10 02:06:43,4,94,2022-03-07 20:53:26.882979,2022-03-24 11:25:41,2022-12-23 09:53:20.500000,2023-04-05 01:59:55
2023-Apr-11 02:08:55,4,93,2022-03-03 17:01:42.462366,2022-03-21 17:16:16,2022-12-23 09:53:20.500000,2023-04-05 01:59:55
2023-Apr-12 02:09:42,4,93,2022-03-03 17:01:42.462366,2022-03-21 17:16:16,2022-12-23 09:53:20.500000,2023-04-05 01:59:55
2023-Apr-13 13:05:21,5,93,2022-03-03 17:01:42.462366,2022-03-21 17:16:16,2023-01-14 12:12:36.400000,2023-04-05 01:59:55
2023-Apr-14 04:26:42,5,93,2022-03-03 17:01:42.462366,2022-03-21 17:16:16,2023-01-14 15:34:31.600000,2023-04-05 01:59:55
2023-Apr-15 04:26:36,4,90,2022-02-25 23:04:35.300000,2022-03-18 15:09:51,2023-01-04 18:38:03.500000,2023-04-05 18:05:31
2023-Apr-16 04:26:16,4,90,2022-02-25 23:04:35.300000,2022-03-18 15:09:51,2023-01-04 18:38:03.500000,2023-04-05 18:05:31
2023-Apr-17 04:27:26,4,90,2022-02-25 23:04:35.300000,2022-03-18 15:09:51,2023-01-07 15:55:48,2023-04-13 14:19:16
2023-Apr-18 04:26:50,8,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,2023-02-26 18:24:59.625000,2023-04-17 17:32:41
2023-Apr-19 04:27:32,8,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,2023-02-27 09:05:09,2023-04-18 20:34:10
2023-Apr-20 04:27:19,2,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,2023-04-12 11:11:32,2023-04-19 04:17:33
2023-Apr-21 04:27:07,1,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,2023-04-20 19:58:58,2023-04-20 19:58:58
2023-Apr-22 04:26:45,0,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,,
2023-Apr-23 04:26:53,0,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,,
2023-Apr-24 04:27:37,0,92,2022-03-07 00:04:47.619565,2022-03-21 17:16:16,,
2023-Apr-25 04:27:01,2,94,2022-03-15 19:20:51.446809,2022-03-24 11:25:41,2023-04-24 16:48:05.500000,2023-04-24 20:18:00
2023-Apr-26 04:26:54,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-Apr-27 04:26:43,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-Apr-28 04:26:33,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-Apr-29 04:26:03,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-Apr-30 04:25:46,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-May-01 04:26:59,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-May-02 04:26:16,2,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-28 02:25:43.500000,2023-05-01 08:33:27
2023-May-03 04:25:59,1,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-24 20:18:00,2023-04-24 20:18:00
2023-May-04 04:26:36,2,95,2022-03-20 01:52:26.884211,2022-03-24 11:25:41,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
2023-May-05 04:26:00,2,96,2022-03-24 08:34:15.677083,2022-03-29 14:11:37,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
2023-May-06 04:25:17,2,96,2022-03-24 08:34:15.677083,2022-03-29 14:11:37,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
2023-May-07 04:25:41,2,96,2022-03-24 08:34:15.677083,2022-03-29 14:11:37,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
2023-May-08 04:26:41,2,96,2022-03-24 08:34:15.677083,2022-03-29 14:11:37,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
2023-May-09 04:26:00,2,96,2022-03-24 08:34:15.677083,2022-03-29 14:11:37,2023-04-29 04:08:15.500000,2023-05-03 11:58:31
