Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:48,3,5,,,,
2023-Apr-05 02:00:43,3,5,,,,
2023-Apr-06 02:11:53,2,5,,,,
2023-Apr-07 02:09:45,2,5,,,,
2023-Apr-08 02:06:33,2,5,,,,
2023-Apr-09 02:10:30,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-10 02:07:06,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-11 02:09:20,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-12 02:10:03,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-13 13:05:35,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-14 04:26:58,3,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-30 15:09:42.333333,2023-03-23 23:46:23
2023-Apr-15 04:26:50,3,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-30 15:09:42.333333,2023-03-23 23:46:23
2023-Apr-16 04:26:34,3,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-30 15:09:42.333333,2023-03-23 23:46:23
2023-Apr-17 04:27:43,3,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-30 15:09:42.333333,2023-03-23 23:46:23
2023-Apr-18 04:27:06,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 13:54:00,2023-03-23 23:46:23
2023-Apr-19 04:27:47,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-20 04:27:34,2,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-04-06 10:45:56,2023-04-19 21:45:29
2023-Apr-21 04:27:21,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-22 04:27:03,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-23 04:27:08,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-24 04:27:51,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-25 04:27:23,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-26 04:27:09,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-27 04:27:07,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-28 04:26:56,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-29 04:26:24,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-Apr-30 04:26:00,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-01 04:27:21,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-02 04:26:40,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-03 04:26:21,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-04 04:26:49,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-05 04:26:15,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-06 04:25:31,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-07 04:25:55,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-08 04:26:55,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-09 04:26:19,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-10 04:26:29,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-11 04:26:08,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-12 04:25:55,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-13 04:25:52,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-14 04:25:39,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-15 04:26:08,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-16 04:26:47,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-17 04:26:14,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-18 04:26:23,1,5,2023-03-10 06:23:25.200000,2023-03-15 22:04:27,2023-03-23 23:46:23,2023-03-23 23:46:23
2023-May-19 04:25:55,10,2,2023-02-19 07:41:34,2023-03-15 22:04:27,2023-05-19 02:11:11.800000,2023-05-19 02:16:45
2023-May-20 04:25:30,10,2,2023-02-19 07:41:34,2023-03-15 22:04:27,2023-05-19 02:11:11.800000,2023-05-19 02:16:45
2023-May-21 04:25:27,12,2,2023-02-19 07:41:34,2023-03-15 22:04:27,2023-05-19 08:01:36.583333,2023-05-19 02:16:49
2023-May-22 04:26:21,12,2,2023-02-19 07:41:34,2023-03-15 22:04:27,2023-05-19 08:01:36.583333,2023-05-19 02:16:49
2023-May-23 04:25:52,1,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-20 07:09:45,2023-05-20 07:09:45
2023-May-24 04:26:43,3,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 15:34:35,2023-05-23 13:20:16
2023-May-25 04:26:01,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 13:47:36,2023-05-24 20:25:27
2023-May-26 04:25:57,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 13:47:36,2023-05-24 20:25:27
2023-May-27 04:25:18,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 13:47:36,2023-05-24 20:25:27
2023-May-28 04:25:13,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 13:47:36,2023-05-24 20:25:27
2023-May-29 04:26:43,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-22 13:47:36,2023-05-24 20:25:27
2023-May-30 04:26:24,2,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-25 01:23:58,2023-05-29 19:38:11
2023-May-31 04:25:30,1,1,2023-01-25 17:18:41,2023-01-25 17:18:41,2023-05-20 07:09:45,2023-05-20 07:09:45
2023-Jun-01 04:27:01,0,1,2023-01-25 17:18:41,2023-01-25 17:18:41,,
2023-Jun-02 04:26:05,0,2,2023-03-30 02:27:19.500000,2023-06-01 11:35:58,,
2023-Jun-03 04:25:35,0,2,2023-03-30 02:27:19.500000,2023-06-01 11:35:58,,
