Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:54,1,3,,,,
2023-Apr-05 02:00:48,1,3,,,,
2023-Apr-06 02:11:56,1,3,,,,
2023-Apr-07 02:09:50,1,3,,,,
2023-Apr-08 02:06:36,1,3,,,,
2023-Apr-09 03:36:05,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-10 03:36:11,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-11 03:36:04,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-12 03:36:13,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-13 13:19:36,2,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2023-01-19 08:33:00.500000,2023-04-12 20:56:17
2023-Apr-14 07:39:39,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-15 07:39:41,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-16 07:39:46,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-17 07:39:47,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-18 07:39:56,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-19 07:39:53,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-20 07:39:39,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-21 07:39:49,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-22 07:39:41,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-23 07:39:56,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-24 07:39:47,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-25 07:39:39,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-26 07:39:35,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-27 07:39:42,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-28 07:39:41,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-29 07:39:33,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-Apr-30 07:39:45,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-01 07:39:46,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-02 07:39:41,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-03 07:39:40,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-04 07:39:38,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-05 07:39:47,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-06 07:39:36,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-07 07:39:51,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-08 07:39:34,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-09 07:39:36,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-10 07:39:44,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-11 07:39:46,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-12 07:39:34,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-13 07:39:46,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-14 07:39:45,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-15 07:39:37,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-16 07:39:46,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-17 07:39:51,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-18 07:39:49,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-19 07:39:42,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-20 07:39:45,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-21 07:39:52,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
2023-May-22 07:39:47,1,3,2022-08-18 20:34:27.666667,2022-08-23 11:06:33,2022-10-27 20:09:44,2022-10-27 20:09:44
