Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:55,3,33,,,,
2023-Apr-05 02:00:49,3,33,,,,
2023-Apr-06 02:11:57,3,33,,,,
2023-Apr-07 02:09:51,3,34,,,,
2023-Apr-08 02:06:37,3,34,,,,
2023-Apr-09 03:36:06,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-03-20 09:22:08.333333,2023-03-21 19:40:01
2023-Apr-10 03:36:12,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-03-20 09:22:08.333333,2023-03-21 19:40:01
2023-Apr-11 03:36:05,4,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-03-25 17:39:13,2023-04-05 19:40:55
2023-Apr-12 03:36:14,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-03-22 00:58:39,2023-03-21 19:40:01
2023-Apr-13 13:19:37,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-03-22 00:58:39,2023-03-21 19:40:01
2023-Apr-14 07:39:41,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-04-05 01:27:43.333333,2023-04-10 18:30:27
2023-Apr-15 07:39:42,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-04-05 01:27:43.333333,2023-04-10 18:30:27
2023-Apr-16 07:39:47,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-04-05 01:27:43.333333,2023-04-10 18:30:27
2023-Apr-17 07:39:49,3,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-04-05 01:27:43.333333,2023-04-10 18:30:27
2023-Apr-18 07:39:58,4,34,2022-11-11 08:11:42.882353,2022-12-05 07:45:45,2023-04-08 06:01:31.250000,2023-04-13 14:12:42
2023-Apr-19 07:39:54,5,35,2022-11-15 20:45:46.314286,2022-12-05 07:45:45,2023-04-10 07:56:52.800000,2023-04-13 14:12:42
2023-Apr-20 07:39:40,6,35,2022-11-15 20:45:46.314286,2022-12-05 07:45:45,2023-04-16 17:00:44.500000,2023-04-18 15:38:19
2023-Apr-21 07:39:50,6,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-17 05:00:25.166667,2023-04-19 15:51:30
2023-Apr-22 07:39:43,6,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-17 05:00:25.166667,2023-04-19 15:51:30
2023-Apr-23 07:39:58,6,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-17 05:00:25.166667,2023-04-19 15:51:30
2023-Apr-24 07:39:49,6,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-17 05:00:25.166667,2023-04-19 15:51:30
2023-Apr-25 07:39:40,4,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-17 11:25:18.750000,2023-04-19 15:51:30
2023-Apr-26 07:39:36,5,35,2022-11-16 06:21:44.485714,2022-12-05 07:45:45,2023-04-20 07:29:56.600000,2023-04-20 19:40:59
2023-Apr-27 07:39:43,3,36,2022-11-20 17:54:33.333333,2022-12-15 18:25:30,2023-04-16 17:56:35,2023-04-18 15:38:19
2023-Apr-28 07:39:42,5,36,2022-11-20 17:54:33.333333,2022-12-15 18:25:30,2023-04-21 02:11:42,2023-04-20 19:40:59
2023-Apr-29 07:39:34,5,36,2022-11-20 17:54:33.333333,2022-12-15 18:25:30,2023-04-21 02:11:42,2023-04-20 19:40:59
2023-Apr-30 07:39:47,5,36,2022-11-20 17:54:33.333333,2022-12-15 18:25:30,2023-04-21 02:11:42,2023-04-20 19:40:59
2023-May-01 07:39:48,5,36,2022-11-20 17:54:33.333333,2022-12-15 18:25:30,2023-04-21 02:11:42,2023-04-20 19:40:59
2023-May-02 07:39:42,5,37,2022-11-25 02:52:48.702703,2022-12-15 18:25:30,2023-04-21 02:11:42,2023-04-20 19:40:59
2023-May-03 07:39:41,6,37,2022-11-25 02:52:48.702703,2022-12-15 18:25:30,2023-04-22 23:59:33.833333,2023-04-27 08:48:25
2023-May-04 07:39:40,5,37,2022-11-25 02:52:48.702703,2022-12-15 18:25:30,2023-04-22 03:01:47.600000,2023-04-20 19:40:59
2023-May-05 07:39:49,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-26 17:14:54.875000,2023-05-02 12:58:53
2023-May-06 07:39:37,7,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-25 14:43:49.714286,2023-04-27 20:20:20
2023-May-07 07:39:52,7,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-25 14:43:49.714286,2023-04-27 20:20:20
2023-May-08 07:39:35,7,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-25 14:43:49.714286,2023-04-27 20:20:20
2023-May-09 07:39:37,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-27 05:58:42.500000,2023-05-02 12:58:53
2023-May-10 07:39:45,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-27 05:58:42.500000,2023-05-02 12:58:53
2023-May-11 07:39:47,6,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-28 05:18:03.500000,2023-05-04 07:46:31
2023-May-12 07:39:35,6,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-04-28 05:18:03.500000,2023-05-04 07:46:31
2023-May-13 07:39:47,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-02 21:14:30.375000,2023-05-08 16:42:52
2023-May-14 07:39:46,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-02 21:14:30.375000,2023-05-08 16:42:52
2023-May-15 07:39:38,8,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-02 21:14:30.375000,2023-05-08 16:42:52
2023-May-16 07:39:48,11,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-06 09:21:59.454545,2023-05-12 16:27:03
2023-May-17 07:39:52,12,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-07 06:02:52.750000,2023-05-12 16:41:06
2023-May-18 07:39:50,12,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-07 16:31:11.083333,2023-05-12 17:10:52
2023-May-19 07:39:43,12,38,2022-11-29 08:04:01.157895,2022-12-15 18:28:45,2023-05-08 16:58:02.750000,2023-05-12 17:10:52
2023-May-20 07:39:46,9,35,2022-11-19 11:46:07.657143,2022-12-05 07:45:45,2023-05-08 09:03:08.333333,2023-05-18 17:27:35
2023-May-21 07:39:53,9,35,2022-11-19 11:46:07.657143,2022-12-05 07:45:45,2023-05-08 09:03:08.333333,2023-05-18 17:27:35
2023-May-22 07:39:48,9,35,2022-11-19 11:46:07.657143,2022-12-05 07:45:45,2023-05-08 09:03:08.333333,2023-05-18 17:27:35
2023-May-23 07:39:45,9,36,2022-11-27 11:23:32.777778,2022-12-15 18:25:30,2023-05-08 18:40:40.666667,2023-05-18 17:27:35
2023-May-24 07:39:38,11,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-11 12:16:37.181818,2023-05-18 17:55:41
2023-May-25 07:39:44,11,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-11 12:16:37.181818,2023-05-18 17:55:41
2023-May-26 07:39:40,10,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-10 11:40:00.200000,2023-05-18 17:55:41
2023-May-27 07:39:40,11,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-12 08:49:54.363636,2023-05-18 17:55:41
2023-May-28 07:39:38,11,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-12 08:49:54.363636,2023-05-18 17:55:41
2023-May-29 07:39:43,11,37,2022-12-02 06:20:58.864865,2022-12-15 18:25:30,2023-05-12 08:49:54.363636,2023-05-18 17:55:41
