Date,New,Incomplete,Opinion,Invalid,Won't Fix,Expired,Confirmed,Triaged,In Progress,Fix Committed,Fix Released,Does Not Exist
2023-Mar-31 15:48:32,510,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-03 13:20:24,511,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-04 02:13:53,512,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-04 23:38:35,512,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-05 02:00:26,512,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-06 02:11:39,514,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-07 02:09:10,514,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-08 02:06:19,514,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-09 01:37:51,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-10 01:33:48,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-11 01:34:38,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-12 01:37:45,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-13 12:35:11,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-14 03:20:46,515,18,30,205,102,91,116,197,20,12,1482,0
2023-Apr-15 03:20:40,515,18,30,205,102,91,116,197,19,13,1482,0
2023-Apr-16 03:20:34,515,18,30,205,102,91,116,197,19,13,1482,0
2023-Apr-17 03:21:12,515,18,30,205,102,91,116,197,19,13,1482,0
2023-Apr-18 03:20:56,514,18,30,205,102,91,118,197,19,13,1482,0
2023-Apr-19 03:21:27,513,18,30,205,102,91,120,197,19,13,1482,0
2023-Apr-20 03:20:59,513,18,30,205,102,91,119,197,19,14,1482,0
2023-Apr-21 03:21:29,513,18,30,205,102,91,119,197,19,14,1482,0
2023-Apr-22 03:20:59,513,18,30,205,102,91,119,197,19,14,1482,0
2023-Apr-23 03:21:02,513,18,30,205,102,91,119,197,19,14,1482,0
2023-Apr-24 03:21:31,513,18,30,205,102,91,119,197,19,14,1482,0
2023-Apr-25 03:21:15,513,18,30,205,102,91,120,197,19,14,1482,0
2023-Apr-26 03:21:16,514,18,30,205,102,91,120,197,19,14,1482,0
2023-Apr-27 03:21:21,515,17,30,205,102,91,121,197,18,13,1484,0
2023-Apr-28 03:21:12,514,17,30,205,102,91,122,197,18,13,1484,0
2023-Apr-29 03:20:22,514,17,30,205,102,91,122,197,18,13,1484,0
2023-Apr-30 03:20:22,514,17,30,205,102,91,122,197,18,13,1484,0
2023-May-01 03:21:43,514,17,30,205,102,91,122,197,18,13,1484,0
2023-May-02 03:21:08,514,17,30,205,102,91,122,197,18,13,1484,0
2023-May-03 03:20:54,514,17,30,205,102,91,122,197,18,13,1484,0
2023-May-04 03:20:51,514,17,30,205,102,91,122,197,18,13,1484,0
2023-May-05 03:20:52,515,17,30,205,102,91,121,197,18,13,1485,0
2023-May-06 03:20:13,515,17,30,205,102,91,122,197,18,13,1485,0
2023-May-07 03:20:24,515,17,30,205,102,91,122,197,18,13,1485,0
2023-May-08 03:21:20,516,17,30,205,102,91,122,197,18,13,1485,0
2023-May-09 03:21:05,516,17,30,205,102,91,122,197,18,13,1485,0
2023-May-10 03:20:46,515,17,30,205,102,91,123,197,18,13,1485,0
2023-May-11 03:20:26,514,17,30,205,102,91,124,197,18,13,1485,0
2023-May-12 03:20:37,513,17,30,206,102,91,124,197,18,13,1485,0
2023-May-13 03:19:54,513,17,30,206,102,91,124,197,18,13,1485,0
2023-May-14 03:19:47,514,17,30,206,102,91,124,197,18,13,1485,0
2023-May-15 03:20:28,514,17,30,206,102,91,124,197,18,13,1485,0
