date,issues,closed,age,nm_issues,nm_closed,nm_age
2021-Jan-01,861,0,938,792,0,937
2021-Jan-02,861,0,939,792,0,938
2021-Jan-03,861,0,940,792,0,939
2021-Jan-04,861,0,941,792,0,940
2021-Jan-05,861,2,942,792,0,941
2021-Jan-06,861,1,943,793,0,942
2021-Jan-07,861,2,944,794,2,943
2021-Jan-08,862,4,945,793,1,944
2021-Jan-09,862,1,946,796,1,939
2021-Jan-10,861,0,947,795,0,946
2021-Jan-11,861,2,948,795,2,947
2021-Jan-12,863,6,949,797,5,937
2021-Jan-13,861,8,950,794,7,949
2021-Jan-14,862,9,951,794,7,950
2021-Jan-15,856,4,959,788,4,952
2021-Jan-16,852,0,961,784,0,957
2021-Jan-17,853,0,962,785,0,956
2021-Jan-18,853,1,963,785,0,957
2021-Jan-19,855,4,963,787,3,956
2021-Jan-20,858,1,961,788,0,957
2021-Jan-21,860,1,959,791,0,958
2021-Jan-22,860,7,960,791,4,959
2021-Jan-23,856,0,967,787,0,960
2021-Jan-24,856,0,968,787,0,961
2021-Jan-25,856,11,969,787,3,962
2021-Jan-26,849,2,978,786,2,964
2021-Jan-27,850,2,976,787,1,964
2021-Jan-28,850,3,977,788,3,965
2021-Jan-29,849,0,981,786,0,967
2021-Jan-30,852,1,975,788,0,967
2021-Jan-31,851,0,977,788,0,968
2021-Feb-01,851,2,978,788,1,969
2021-Feb-02,851,1,979,788,1,970
2021-Feb-03,850,0,983,787,0,971
2021-Feb-04,850,0,984,787,0,972
2021-Feb-05,851,0,982,788,0,973
2021-Feb-06,853,0,982,788,0,974
2021-Feb-07,853,0,983,788,0,975
2021-Feb-08,853,0,984,788,0,976
2021-Feb-09,855,4,984,790,4,977
2021-Feb-10,856,4,985,791,1,978
2021-Feb-11,857,5,986,792,5,978
2021-Feb-12,853,0,988,788,0,980
2021-Feb-13,854,0,988,789,0,981
2021-Feb-14,854,0,989,789,0,982
2021-Feb-15,854,0,990,789,0,983
2021-Feb-16,854,0,991,789,0,984
2021-Feb-17,856,1,992,791,0,985
2021-Feb-18,856,1,993,791,0,986
2021-Feb-19,860,5,988,794,3,986
2021-Feb-20,859,0,990,794,0,987
2021-Feb-21,860,0,990,795,0,988
2021-Feb-22,860,3,991,795,1,989
2021-Feb-23,861,8,991,795,4,990
2021-Feb-24,856,4,999,793,2,991
2021-Feb-25,856,6,1000,793,6,992
2021-Feb-26,850,0,1006,787,0,994
2021-Feb-27,851,0,1004,788,0,995
2021-Feb-28,851,0,1005,788,0,996
2021-Mar-01,852,4,1005,788,3,997
2021-Mar-02,850,7,1010,786,5,999
2021-Mar-03,852,2,1007,785,1,1001
2021-Mar-04,857,3,1007,788,0,1000
2021-Mar-05,857,5,1008,789,1,1001
2021-Mar-06,857,0,1009,791,0,1002
2021-Mar-07,857,0,1010,791,0,1003
2021-Mar-08,857,1,1011,791,1,1004
2021-Mar-09,860,5,1006,794,2,1004
2021-Mar-10,861,5,1006,795,2,1005
2021-Mar-11,864,4,1007,798,2,992
2021-Mar-12,865,3,1008,799,2,990
2021-Mar-13,867,0,1008,801,0,991
2021-Mar-14,869,0,1009,803,0,991
2021-Mar-15,869,4,1010,803,4,992
2021-Mar-16,867,1,1011,800,1,994
2021-Mar-17,867,0,1012,800,0,995
2021-Mar-18,868,1,1013,801,1,996
2021-Mar-19,869,4,1014,801,2,997
2021-Mar-20,870,4,1009,801,1,998
2021-Mar-21,869,1,1016,803,1,998
2021-Mar-22,868,2,1017,802,1,999
2021-Mar-23,872,5,1004,803,3,1000
2021-Mar-24,870,4,1013,802,2,1001
2021-Mar-25,873,1,1003,805,1,1002
2021-Mar-26,878,4,1003,809,2,1001
2021-Mar-27,875,0,1005,808,0,1003
2021-Mar-28,875,0,1006,808,0,1004
2021-Mar-29,876,1,1006,808,1,1005
2021-Mar-30,877,4,1007,807,3,1007
2021-Mar-31,874,9,1009,805,5,1008
2021-Apr-01,870,0,1021,803,0,1009
2021-Apr-02,871,0,1017,804,0,1010
2021-Apr-03,876,0,1011,808,0,1010
2021-Apr-04,876,0,1012,808,0,1011
2021-Apr-05,877,6,1013,809,5,1011
2021-Apr-06,877,1,1014,806,1,1014
2021-Apr-07,877,11,1015,805,5,1015
2021-Apr-08,875,4,1017,803,1,1016
2021-Apr-09,878,8,1017,805,3,1017
2021-Apr-10,879,1,1018,807,1,1018
2021-Apr-11,881,0,1019,809,0,1017
2021-Apr-12,881,4,1020,809,3,1018
2021-Apr-13,881,7,1021,808,4,1020
2021-Apr-14,881,8,1022,808,4,1021
2021-Apr-15,878,13,1023,808,7,1022
2021-Apr-16,874,6,1025,805,2,1024
2021-Apr-17,873,0,1026,805,0,1025
2021-Apr-18,873,0,1027,805,0,1026
2021-Apr-19,873,6,1028,805,3,1027
2021-Apr-20,881,20,1028,811,10,1020
2021-Apr-21,872,3,1033,805,0,1029
2021-Apr-22,878,7,1030,807,3,1030
2021-Apr-23,877,6,1031,806,1,1031
2021-Apr-24,880,0,1032,810,0,1027
