date,issues,closed,age
2021-Jan-01,0,0,
2021-Jan-02,0,0,
2021-Jan-03,0,0,
2021-Jan-04,0,0,
2021-Jan-05,0,0,
2021-Jan-06,0,0,
2021-Jan-07,0,0,
2021-Jan-08,0,0,
2021-Jan-09,0,0,
2021-Jan-10,0,0,
2021-Jan-11,0,0,
2021-Jan-12,0,0,
2021-Jan-13,0,0,
2021-Jan-14,0,0,
2021-Jan-15,0,0,
2021-Jan-16,0,0,
2021-Jan-17,0,0,
2021-Jan-18,0,0,
2021-Jan-19,0,0,
2021-Jan-20,0,0,
2021-Jan-21,0,0,
2021-Jan-22,0,0,
2021-Jan-23,0,0,
2021-Jan-24,0,0,
2021-Jan-25,0,0,
2021-Jan-26,0,0,
2021-Jan-27,0,0,
2021-Jan-28,0,0,
2021-Jan-29,0,0,
2021-Jan-30,0,0,
2021-Jan-31,0,0,
2021-Feb-01,0,0,
2021-Feb-02,0,0,
2021-Feb-03,0,0,
2021-Feb-04,0,0,
2021-Feb-05,0,0,
2021-Feb-06,0,0,
2021-Feb-07,0,0,
2021-Feb-08,0,0,
2021-Feb-09,0,0,
2021-Feb-10,0,0,
2021-Feb-11,0,0,
2021-Feb-12,0,0,
2021-Feb-13,0,0,
2021-Feb-14,0,0,
2021-Feb-15,0,0,
2021-Feb-16,0,0,
2021-Feb-17,0,0,
2021-Feb-18,0,0,
2021-Feb-19,0,0,
2021-Feb-20,0,0,
2021-Feb-21,0,0,
2021-Feb-22,0,0,
2021-Feb-23,0,0,
2021-Feb-24,0,0,
2021-Feb-25,0,0,
2021-Feb-26,0,0,
2021-Feb-27,0,0,
2021-Feb-28,0,0,
2021-Mar-01,0,0,
2021-Mar-02,0,0,
2021-Mar-03,0,0,
2021-Mar-04,0,0,
2021-Mar-05,0,0,
2021-Mar-06,0,0,
2021-Mar-07,0,0,
2021-Mar-08,0,0,
2021-Mar-09,0,0,
2021-Mar-10,0,0,
2021-Mar-11,0,0,
2021-Mar-12,0,0,
2021-Mar-13,0,0,
2021-Mar-14,0,0,
2021-Mar-15,0,0,
2021-Mar-16,0,0,
2021-Mar-17,0,0,
2021-Mar-18,0,0,
2021-Mar-19,0,0,
2021-Mar-20,0,0,
2021-Mar-21,0,0,
2021-Mar-22,0,0,
2021-Mar-23,0,0,
2021-Mar-24,1,2,0
2021-Mar-25,1,0,0
2021-Mar-26,1,1,1
2021-Mar-27,0,0,
2021-Mar-28,0,0,
2021-Mar-29,1,0,0
2021-Mar-30,1,0,1
2021-Mar-31,1,2,2
2021-Apr-01,1,0,0
2021-Apr-02,1,0,1
2021-Apr-03,2,0,1
2021-Apr-04,2,0,2
2021-Apr-05,2,0,3
2021-Apr-06,3,0,3
2021-Apr-07,4,5,2
2021-Apr-08,1,1,0
2021-Apr-09,1,5,0
2021-Apr-10,0,0,
2021-Apr-11,0,0,
2021-Apr-12,0,0,
2021-Apr-13,1,2,0
2021-Apr-14,2,1,0
2021-Apr-15,2,2,0
2021-Apr-16,2,1,0
2021-Apr-17,2,0,1
2021-Apr-18,2,0,2
2021-Apr-19,2,0,3
2021-Apr-20,4,8,2
2021-Apr-21,0,2,
2021-Apr-22,2,3,0
2021-Apr-23,2,4,0
2021-Apr-24,1,0,0
2021-Apr-25,1,0,1
2021-Apr-26,1,3,2
2021-Apr-27,1,0,0
2021-Apr-28,5,6,0
2021-Apr-29,1,1,0
2021-Apr-30,1,2,0
2021-May-01,1,0,0
2021-May-02,3,0,0
2021-May-03,3,6,1
2021-May-04,1,1,0
2021-May-05,2,2,0
2021-May-06,0,0,
2021-May-07,1,1,0
2021-May-08,3,0,0
2021-May-09,3,0,1
2021-May-10,3,3,2
2021-May-11,2,1,0
2021-May-12,1,1,1
2021-May-13,1,1,0
2021-May-14,1,0,0
2021-May-15,1,0,1
2021-May-16,1,0,2
2021-May-17,1,1,3
2021-May-18,1,0,0
2021-May-19,3,3,0
2021-May-20,2,1,0
2021-May-21,2,2,1
2021-May-22,0,0,
2021-May-23,0,0,
2021-May-24,0,0,
2021-May-25,0,0,
2021-May-26,1,0,0
2021-May-27,3,0,0
2021-May-28,3,0,1
2021-May-29,3,0,2
2021-May-30,4,0,3
2021-May-31,4,1,4
2021-Jun-01,3,0,5
2021-Jun-02,4,0,4
2021-Jun-03,5,2,4
2021-Jun-04,3,0,2
2021-Jun-05,3,0,3
2021-Jun-06,3,0,4
2021-Jun-07,3,2,5
2021-Jun-08,1,0,9
2021-Jun-09,1,0,10
2021-Jun-10,1,0,11
2021-Jun-11,1,0,12
2021-Jun-12,2,0,6
2021-Jun-13,2,0,7
2021-Jun-14,2,1,8
2021-Jun-15,2,0,8
2021-Jun-16,2,0,9
2021-Jun-17,2,1,10
2021-Jun-18,1,0,19
2021-Jun-19,1,0,20
2021-Jun-20,1,0,21
2021-Jun-21,1,0,22
2021-Jun-22,1,2,23
2021-Jun-23,1,0,24
2021-Jun-24,2,0,12
2021-Jun-25,2,1,13
2021-Jun-26,3,0,0
2021-Jun-27,3,0,1
2021-Jun-28,3,0,2
2021-Jun-29,4,2,3
2021-Jun-30,2,1,17
2021-Jul-01,1,0,32
2021-Jul-02,1,0,33
2021-Jul-03,1,0,34
2021-Jul-04,1,0,35
2021-Jul-05,1,0,36
2021-Jul-06,1,0,37
2021-Jul-07,1,0,38
2021-Jul-08,1,1,39
2021-Jul-09,2,0,20
2021-Jul-10,3,1,1
2021-Jul-11,2,0,21
2021-Jul-12,2,1,22
2021-Jul-13,2,2,22
2021-Jul-14,2,0,22
2021-Jul-15,3,0,1
2021-Jul-16,3,0,2
2021-Jul-17,4,0,2
2021-Jul-18,4,0,3
2021-Jul-19,4,0,4
2021-Jul-20,5,1,5
2021-Jul-21,4,0,6
2021-Jul-22,5,2,7
2021-Jul-23,4,1,8
2021-Jul-24,4,0,9
2021-Jul-25,4,0,10
2021-Jul-26,4,0,11
2021-Jul-27,4,2,12
2021-Jul-28,3,1,14
2021-Jul-29,2,2,37
2021-Jul-30,1,0,61
2021-Jul-31,1,0,62
2021-Aug-01,1,0,63
2021-Aug-02,1,0,64
2021-Aug-03,2,0,33
2021-Aug-04,2,1,34
2021-Aug-05,1,0,67
2021-Aug-06,2,0,34
2021-Aug-07,4,1,0
2021-Aug-08,3,0,2
2021-Aug-09,3,1,3
2021-Aug-10,2,1,38
2021-Aug-11,1,0,73
2021-Aug-12,3,2,0
2021-Aug-13,1,0,75
2021-Aug-14,1,0,76
2021-Aug-15,1,0,77
2021-Aug-16,1,0,78
2021-Aug-17,3,0,0
2021-Aug-18,3,2,1
2021-Aug-19,3,0,0
2021-Aug-20,4,2,1
2021-Aug-21,3,0,1
2021-Aug-22,3,0,2
2021-Aug-23,3,1,3
2021-Aug-24,2,0,45
2021-Aug-25,3,1,5
2021-Aug-26,3,1,1
2021-Aug-27,2,0,45
2021-Aug-28,2,0,46
2021-Aug-29,2,0,47
2021-Aug-30,2,2,48
2021-Aug-31,3,1,0
2021-Sep-01,3,1,1
2021-Sep-02,2,0,48
2021-Sep-03,3,1,3
2021-Sep-04,2,0,49
2021-Sep-05,2,0,50
2021-Sep-06,2,0,51
2021-Sep-07,3,0,4
2021-Sep-08,3,0,5
2021-Sep-09,4,2,4
2021-Sep-10,3,1,7
2021-Sep-11,5,0,0
2021-Sep-12,5,0,1
2021-Sep-13,5,3,2
2021-Sep-14,3,1,3
2021-Sep-15,2,0,56
2021-Sep-16,5,5,0
2021-Sep-17,2,0,58
2021-Sep-18,2,0,59
2021-Sep-19,2,0,60
2021-Sep-20,2,1,61
2021-Sep-21,1,0,114
2021-Sep-22,2,1,57
2021-Sep-23,1,0,116
2021-Sep-24,2,0,58
2021-Sep-25,2,0,59
2021-Sep-26,2,0,60
2021-Sep-27,2,0,61
2021-Sep-28,2,0,62
2021-Sep-29,3,1,5
2021-Sep-30,3,1,1
2021-Oct-01,3,1,2
2021-Oct-02,3,0,3
2021-Oct-03,3,0,4
2021-Oct-04,3,0,5
2021-Oct-05,3,0,6
2021-Oct-06,3,1,7
2021-Oct-07,3,1,8
2021-Oct-08,2,0,70
2021-Oct-09,2,0,71
2021-Oct-10,2,0,72
2021-Oct-11,2,0,73
2021-Oct-12,2,0,74
2021-Oct-13,2,0,75
2021-Oct-14,2,0,76
2021-Oct-15,2,0,77
2021-Oct-16,2,0,78
2021-Oct-17,2,0,79
2021-Oct-18,2,0,80
2021-Oct-19,3,4,20
2021-Oct-20,3,3,21
2021-Oct-21,2,1,83
2021-Oct-22,2,0,84
2021-Oct-23,2,0,85
2021-Oct-24,2,0,86
2021-Oct-25,2,0,87
2021-Oct-26,2,0,88
2021-Oct-27,2,0,89
2021-Oct-28,3,0,29
2021-Oct-29,3,0,30
2021-Oct-30,3,0,31
2021-Oct-31,3,0,32
2021-Nov-01,3,0,33
2021-Nov-02,4,0,19
2021-Nov-03,4,0,20
2021-Nov-04,4,0,21
2021-Nov-05,4,0,22
2021-Nov-06,4,0,23
2021-Nov-07,4,0,24
2021-Nov-08,4,0,25
2021-Nov-09,4,0,26
2021-Nov-10,4,2,27
2021-Nov-11,3,0,43
2021-Nov-12,3,1,44
2021-Nov-13,3,0,45
2021-Nov-14,3,0,46
2021-Nov-15,3,0,47
