date,issues,closed,age,nm_issues,nm_closed,nm_age
2021-Jan-01,0,0,,0,0,
2021-Jan-02,0,0,,0,0,
2021-Jan-03,0,0,,0,0,
2021-Jan-04,0,0,,0,0,
2021-Jan-05,0,0,,0,0,
2021-Jan-06,0,0,,0,0,
2021-Jan-07,0,0,,0,0,
2021-Jan-08,0,0,,0,0,
2021-Jan-09,1,0,0,1,0,0
2021-Jan-10,1,0,1,1,0,1
2021-Jan-11,1,0,2,1,0,2
2021-Jan-12,1,0,3,1,0,3
2021-Jan-13,1,0,4,1,0,4
2021-Jan-14,1,0,5,1,0,5
2021-Jan-15,1,0,6,1,0,6
2021-Jan-16,1,0,7,1,0,7
2021-Jan-17,1,0,8,1,0,8
2021-Jan-18,1,0,9,1,0,9
2021-Jan-19,1,0,10,1,0,10
2021-Jan-20,1,0,11,1,0,11
2021-Jan-21,1,0,12,1,0,12
2021-Jan-22,1,0,13,1,0,13
2021-Jan-23,1,0,14,1,0,14
2021-Jan-24,1,0,15,1,0,15
2021-Jan-25,1,0,16,1,0,16
2021-Jan-26,1,0,17,1,0,17
2021-Jan-27,1,0,18,1,0,18
2021-Jan-28,1,0,19,1,0,19
2021-Jan-29,1,0,20,1,0,20
2021-Jan-30,1,0,21,1,0,21
2021-Jan-31,1,0,22,1,0,22
2021-Feb-01,1,0,23,1,0,23
2021-Feb-02,1,0,24,1,0,24
2021-Feb-03,1,0,25,1,0,25
2021-Feb-04,1,0,26,1,0,26
2021-Feb-05,2,0,13,2,0,13
2021-Feb-06,2,0,14,2,0,14
2021-Feb-07,2,0,15,2,0,15
2021-Feb-08,2,0,16,2,0,16
2021-Feb-09,3,4,4,3,4,4
2021-Feb-10,1,0,0,1,0,0
2021-Feb-11,1,1,1,1,1,1
2021-Feb-12,1,0,0,1,0,0
2021-Feb-13,1,0,1,1,0,1
2021-Feb-14,1,0,2,1,0,2
2021-Feb-15,1,0,3,1,0,3
2021-Feb-16,1,0,4,1,0,4
2021-Feb-17,1,0,5,1,0,5
2021-Feb-18,1,0,6,1,0,6
2021-Feb-19,1,0,7,1,0,7
2021-Feb-20,1,0,8,1,0,8
2021-Feb-21,1,0,9,1,0,9
2021-Feb-22,1,0,10,1,0,10
2021-Feb-23,1,0,11,1,0,11
2021-Feb-24,1,0,12,1,0,12
2021-Feb-25,1,0,13,1,0,13
2021-Feb-26,1,0,14,1,0,14
2021-Feb-27,1,0,15,1,0,15
2021-Feb-28,1,0,16,1,0,16
2021-Mar-01,1,0,17,1,0,17
2021-Mar-02,1,0,18,1,0,18
2021-Mar-03,1,0,19,1,0,19
2021-Mar-04,1,0,20,1,0,20
2021-Mar-05,1,0,21,1,0,21
2021-Mar-06,1,0,22,1,0,22
2021-Mar-07,1,0,23,1,0,23
2021-Mar-08,1,0,24,1,0,24
2021-Mar-09,1,0,25,1,0,25
2021-Mar-10,1,0,26,1,0,26
2021-Mar-11,1,2,27,1,2,27
2021-Mar-12,1,0,0,1,0,0
2021-Mar-13,1,0,1,1,0,1
2021-Mar-14,1,0,2,1,0,2
2021-Mar-15,1,1,3,1,1,3
2021-Mar-16,1,0,0,1,0,0
2021-Mar-17,1,0,1,1,0,1
2021-Mar-18,1,0,2,1,0,2
2021-Mar-19,1,0,3,1,0,3
2021-Mar-20,1,0,4,1,0,4
2021-Mar-21,2,0,2,2,0,2
2021-Mar-22,2,0,3,2,0,3
2021-Mar-23,2,0,4,2,0,4
2021-Mar-24,2,0,5,2,0,5
2021-Mar-25,3,0,4,3,0,4
2021-Mar-26,3,1,5,3,1,5
2021-Mar-27,3,0,2,3,0,2
2021-Mar-28,3,0,3,3,0,3
2021-Mar-29,3,1,4,3,1,4
2021-Mar-30,2,0,7,2,0,7
2021-Mar-31,2,1,8,2,1,8
2021-Apr-01,2,0,5,2,0,5
2021-Apr-02,2,0,6,2,0,6
2021-Apr-03,6,0,0,6,0,0
2021-Apr-04,6,0,1,6,0,1
2021-Apr-05,6,4,2,6,4,2
2021-Apr-06,4,1,1,4,1,1
2021-Apr-07,3,3,4,3,3,4
2021-Apr-08,1,0,0,1,0,0
2021-Apr-09,2,2,0,2,2,0
2021-Apr-10,4,0,0,4,0,0
2021-Apr-11,5,0,1,5,0,1
2021-Apr-12,5,3,2,5,3,2
2021-Apr-13,3,4,2,3,4,2
2021-Apr-14,1,1,0,1,1,0
2021-Apr-15,2,3,0,2,3,0
2021-Apr-16,0,0,,0,0,
2021-Apr-17,1,0,0,1,0,0
2021-Apr-18,1,0,1,1,0,1
2021-Apr-19,1,0,2,1,0,2
2021-Apr-20,1,2,3,1,2,3
2021-Apr-21,2,0,0,2,0,0
2021-Apr-22,2,2,1,2,2,1
2021-Apr-23,0,0,,0,0,
2021-Apr-24,2,0,0,2,0,0
2021-Apr-25,2,0,1,2,0,1
2021-Apr-26,2,1,2,2,1,2
2021-Apr-27,1,0,3,1,0,3
2021-Apr-28,1,0,4,1,0,4
2021-Apr-29,1,1,5,1,1,5
2021-Apr-30,0,0,,0,0,
2021-May-01,3,0,0,3,0,0
2021-May-02,3,0,1,3,0,1
2021-May-03,3,2,2,3,2,2
2021-May-04,2,0,1,2,0,1
2021-May-05,2,1,2,2,1,2
2021-May-06,1,0,2,1,0,2
2021-May-07,2,1,1,2,1,1
2021-May-08,2,0,2,2,0,2
2021-May-09,2,0,3,2,0,3
2021-May-10,2,0,4,2,0,4
2021-May-11,2,0,5,2,0,5
2021-May-12,2,0,6,2,0,6
2021-May-13,2,0,7,2,0,7
2021-May-14,2,1,8,2,1,8
2021-May-15,2,0,5,2,0,5
2021-May-16,2,0,6,2,0,6
2021-May-17,2,0,7,2,0,7
2021-May-18,4,1,1,4,1,1
2021-May-19,3,1,4,3,1,4
2021-May-20,2,0,10,2,0,10
2021-May-21,2,0,11,2,0,11
2021-May-22,2,0,12,2,0,12
2021-May-23,2,0,13,2,0,13
2021-May-24,2,0,14,2,0,14
2021-May-25,2,0,15,2,0,15
2021-May-26,2,0,16,2,0,16
2021-May-27,3,1,12,3,1,12
2021-May-28,3,2,13,3,2,13
2021-May-29,3,1,14,3,1,14
2021-May-30,3,0,15,3,0,15
2021-May-31,3,0,16,3,0,16
2021-Jun-01,3,0,17,3,0,17
2021-Jun-02,3,0,18,3,0,18
2021-Jun-03,3,0,19,3,0,19
2021-Jun-04,3,0,20,3,0,20
2021-Jun-05,3,0,21,3,0,21
2021-Jun-06,3,0,22,3,0,22
2021-Jun-07,3,0,23,3,0,23
2021-Jun-08,3,1,24,3,1,24
2021-Jun-09,2,0,30,2,0,30
2021-Jun-10,2,0,31,2,0,31
2021-Jun-11,2,0,32,2,0,32
2021-Jun-12,2,0,33,2,0,33
2021-Jun-13,2,0,34,2,0,34
2021-Jun-14,2,0,35,2,0,35
2021-Jun-15,2,1,36,2,1,36
2021-Jun-16,1,0,43,1,0,43
2021-Jun-17,1,0,44,1,0,44
2021-Jun-18,2,2,22,2,2,22
2021-Jun-19,2,0,23,2,0,23
2021-Jun-20,2,0,24,2,0,24
2021-Jun-21,2,1,25,2,1,25
2021-Jun-22,2,2,24,2,2,24
2021-Jun-23,2,3,25,2,3,25
2021-Jun-24,2,0,25,2,0,25
2021-Jun-25,2,1,26,2,1,26
2021-Jun-26,2,0,26,2,0,26
2021-Jun-27,2,0,27,2,0,27
2021-Jun-28,2,0,28,2,0,28
2021-Jun-29,2,1,29,2,1,29
2021-Jun-30,1,0,57,1,0,57
2021-Jul-01,1,0,58,1,0,58
2021-Jul-02,1,0,59,1,0,59
2021-Jul-03,1,0,60,1,0,60
2021-Jul-04,1,0,61,1,0,61
2021-Jul-05,1,0,62,1,0,62
2021-Jul-06,1,0,63,1,0,63
2021-Jul-07,1,0,64,1,0,64
2021-Jul-08,1,0,65,1,0,65
2021-Jul-09,1,1,66,1,1,66
2021-Jul-10,4,0,0,4,0,0
