date,issues,closed,age,nm_issues,nm_closed,nm_age
2021-Jan-01,70,0,1097,14,0,964
2021-Jan-02,70,0,1098,14,0,965
2021-Jan-03,70,0,1099,14,0,966
2021-Jan-04,70,0,1100,14,0,967
2021-Jan-05,70,2,1101,14,0,968
2021-Jan-06,69,1,1127,14,0,969
2021-Jan-07,69,2,1128,14,0,970
2021-Jan-08,70,3,1104,14,0,971
2021-Jan-09,70,1,1105,16,1,739
2021-Jan-10,69,0,1131,15,0,972
2021-Jan-11,69,2,1132,15,1,973
2021-Jan-12,70,2,1108,16,0,742
2021-Jan-13,70,7,1109,16,3,743
2021-Jan-14,69,7,1135,15,1,976
2021-Jan-15,62,1,1165,14,0,978
2021-Jan-16,61,0,1166,14,0,979
2021-Jan-17,62,0,1167,15,0,979
2021-Jan-18,62,0,1168,15,0,980
2021-Jan-19,63,3,1169,15,1,981
2021-Jan-20,64,0,1162,16,0,750
2021-Jan-21,66,0,1156,18,0,470
2021-Jan-22,66,4,1157,18,3,471
2021-Jan-23,63,0,1173,15,0,985
2021-Jan-24,63,0,1174,15,0,986
2021-Jan-25,63,0,1175,15,0,987
2021-Jan-26,65,2,1161,17,2,524
2021-Jan-27,65,2,1162,16,0,757
2021-Jan-28,65,2,1163,17,0,526
2021-Jan-29,63,0,1179,17,0,527
2021-Jan-30,63,0,1180,17,0,528
2021-Jan-31,63,0,1181,17,0,529
2021-Feb-01,63,1,1182,17,1,530
2021-Feb-02,63,1,1183,16,1,763
2021-Feb-03,62,0,1184,15,0,996
2021-Feb-04,62,0,1185,15,0,997
2021-Feb-05,62,0,1186,15,0,998
2021-Feb-06,62,0,1187,15,0,999
2021-Feb-07,62,0,1188,15,0,1000
2021-Feb-08,62,0,1189,15,0,1001
2021-Feb-09,62,0,1190,15,0,1002
2021-Feb-10,63,1,1191,16,1,771
2021-Feb-11,63,4,1192,16,0,772
2021-Feb-12,59,0,1193,16,0,773
2021-Feb-13,59,0,1194,16,0,774
2021-Feb-14,59,0,1195,16,0,775
2021-Feb-15,59,0,1196,16,0,776
2021-Feb-16,59,0,1197,16,0,777
2021-Feb-17,60,0,1198,17,0,546
2021-Feb-18,60,0,1199,17,0,547
2021-Feb-19,62,3,1200,19,2,449
2021-Feb-20,61,0,1201,17,0,549
2021-Feb-21,61,0,1202,17,0,550
2021-Feb-22,61,1,1203,17,1,551
2021-Feb-23,63,5,1204,16,0,784
2021-Feb-24,61,3,1205,17,0,553
2021-Feb-25,61,0,1206,17,0,554
2021-Feb-26,61,0,1207,17,0,555
2021-Feb-27,62,0,1208,17,0,556
2021-Feb-28,62,0,1209,17,0,557
2021-Mar-01,63,4,1210,17,1,558
2021-Mar-02,61,3,1211,16,0,791
2021-Mar-03,63,1,1212,17,0,560
2021-Mar-04,64,1,1205,17,0,561
2021-Mar-05,65,3,1199,17,0,562
2021-Mar-06,63,0,1215,18,0,514
2021-Mar-07,63,0,1216,18,0,515
2021-Mar-08,63,1,1217,18,1,516
2021-Mar-09,65,3,1203,17,0,566
2021-Mar-10,64,3,1211,17,0,567
2021-Mar-11,64,1,1212,18,0,519
2021-Mar-12,64,0,1213,18,0,520
2021-Mar-13,64,0,1214,18,0,521
2021-Mar-14,64,0,1215,18,0,522
2021-Mar-15,64,1,1216,18,1,523
2021-Mar-16,63,0,1225,17,0,573
2021-Mar-17,63,0,1226,17,0,574
2021-Mar-18,63,0,1227,17,0,575
2021-Mar-19,63,4,1228,17,0,576
