date,issues,closed,age,nm_issues,nm_closed,nm_age
2021-Jan-01,733,0,980,0,0,
2021-Jan-02,733,0,981,0,0,
2021-Jan-03,733,0,982,0,0,
2021-Jan-04,733,0,983,0,0,
2021-Jan-05,733,0,984,0,0,
2021-Jan-06,734,0,985,0,0,
2021-Jan-07,734,0,986,0,0,
2021-Jan-08,734,0,987,0,0,
2021-Jan-09,734,0,988,0,0,
2021-Jan-10,734,0,989,0,0,
2021-Jan-11,734,0,990,0,0,
2021-Jan-12,735,0,991,0,0,
2021-Jan-13,735,0,992,0,0,
2021-Jan-14,736,0,993,0,0,
2021-Jan-15,736,3,994,0,0,
2021-Jan-16,733,0,995,0,0,
2021-Jan-17,733,0,996,0,0,
2021-Jan-18,733,0,997,0,0,
2021-Jan-19,734,0,998,0,0,
2021-Jan-20,735,0,999,0,0,
2021-Jan-21,736,0,1000,0,0,
2021-Jan-22,736,0,1001,0,0,
2021-Jan-23,736,0,1002,0,0,
2021-Jan-24,736,0,1003,0,0,
2021-Jan-25,736,0,1004,0,0,
2021-Jan-26,736,0,1005,0,0,
2021-Jan-27,736,0,1006,0,0,
2021-Jan-28,736,0,1007,0,0,
2021-Jan-29,737,0,1008,0,0,
2021-Jan-30,739,0,1004,0,0,
2021-Jan-31,739,0,1005,0,0,
2021-Feb-01,739,0,1006,0,0,
2021-Feb-02,739,0,1007,0,0,
2021-Feb-03,739,0,1008,0,0,
2021-Feb-04,739,0,1009,0,0,
2021-Feb-05,739,0,1010,0,0,
2021-Feb-06,739,0,1011,0,0,
2021-Feb-07,739,0,1012,0,0,
2021-Feb-08,739,0,1013,0,0,
2021-Feb-09,740,0,1014,0,0,
2021-Feb-10,740,0,1015,0,0,
2021-Feb-11,740,0,1016,0,0,
2021-Feb-12,740,0,1017,0,0,
2021-Feb-13,740,0,1018,0,0,
2021-Feb-14,740,0,1019,0,0,
2021-Feb-15,740,0,1020,0,0,
2021-Feb-16,740,0,1021,0,0,
2021-Feb-17,741,0,1022,0,0,
2021-Feb-18,741,0,1023,0,0,
2021-Feb-19,742,0,1021,0,0,
2021-Feb-20,743,0,1020,0,0,
2021-Feb-21,744,0,1019,0,0,
2021-Feb-22,744,0,1020,0,0,
2021-Feb-23,744,1,1021,0,0,
2021-Feb-24,743,0,1024,0,0,
2021-Feb-25,743,6,1025,0,0,
2021-Feb-26,737,0,1036,0,0,
2021-Feb-27,737,0,1037,0,0,
2021-Feb-28,737,0,1038,0,0,
2021-Mar-01,737,0,1039,0,0,
2021-Mar-02,737,2,1040,0,0,
2021-Mar-03,735,0,1041,0,0,
2021-Mar-04,737,0,1042,0,0,
2021-Mar-05,737,0,1043,0,0,
2021-Mar-06,739,0,1039,0,0,
2021-Mar-07,739,0,1040,0,0,
2021-Mar-08,739,0,1041,0,0,
2021-Mar-09,739,0,1042,0,0,
2021-Mar-10,740,0,1043,0,0,
2021-Mar-11,740,0,1044,0,0,
2021-Mar-12,741,0,1045,0,0,
2021-Mar-13,745,0,1038,0,0,
2021-Mar-14,747,0,1038,0,0,
2021-Mar-15,747,0,1039,0,0,
2021-Mar-16,747,0,1040,0,0,
2021-Mar-17,747,0,1041,0,0,
2021-Mar-18,748,1,1040,0,0,
2021-Mar-19,748,0,1041,0,0,
2021-Mar-20,748,0,1042,0,0,
2021-Mar-21,748,0,1043,0,0,
2021-Mar-22,748,0,1044,0,0,
2021-Mar-23,749,0,1043,0,0,
2021-Mar-24,749,2,1044,0,0,
2021-Mar-25,747,1,1049,0,0,
2021-Mar-26,748,0,1048,0,0,
2021-Mar-27,748,0,1049,0,0,
2021-Mar-28,748,0,1050,0,0,
2021-Mar-29,748,0,1051,0,0,
2021-Mar-30,748,0,1052,0,0,
2021-Mar-31,749,1,1051,0,0,
2021-Apr-01,750,0,1050,0,0,
2021-Apr-02,751,0,1050,0,0,
2021-Apr-03,751,0,1051,0,0,
2021-Apr-04,751,0,1052,0,0,
2021-Apr-05,752,0,1050,0,0,
2021-Apr-06,752,0,1051,0,0,
2021-Apr-07,752,2,1052,0,0,
2021-Apr-08,752,0,1053,0,0,
2021-Apr-09,753,1,1051,0,0,
2021-Apr-10,753,1,1052,0,0,
2021-Apr-11,752,0,1056,0,0,
2021-Apr-12,752,0,1057,0,0,
2021-Apr-13,752,0,1058,0,0,
2021-Apr-14,752,0,1059,0,0,
2021-Apr-15,753,0,1057,0,0,
2021-Apr-16,753,0,1058,0,0,
2021-Apr-17,753,0,1059,0,0,
2021-Apr-18,753,0,1060,0,0,
2021-Apr-19,753,0,1061,0,0,
2021-Apr-20,754,0,1059,0,0,
2021-Apr-21,754,0,1060,0,0,
2021-Apr-22,755,0,1058,0,0,
2021-Apr-23,755,0,1059,0,0,
2021-Apr-24,755,0,1060,0,0,
2021-Apr-25,755,0,1061,0,0,
2021-Apr-26,755,0,1062,0,0,
2021-Apr-27,755,3,1063,0,0,
2021-Apr-28,752,0,1073,0,0,
2021-Apr-29,752,1,1074,0,0,
2021-Apr-30,752,0,1075,0,0,
2021-May-01,752,0,1076,0,0,
2021-May-02,752,0,1077,0,0,
2021-May-03,752,0,1078,0,0,
2021-May-04,752,1,1079,0,0,
2021-May-05,752,0,1080,0,0,
2021-May-06,752,0,1081,0,0,
2021-May-07,754,0,1076,0,0,
2021-May-08,754,0,1077,0,0,
2021-May-09,755,1,1075,0,0,
2021-May-10,754,0,1079,0,0,
2021-May-11,754,1,1080,0,0,
2021-May-12,754,1,1081,0,0,
2021-May-13,754,0,1082,0,0,
2021-May-14,754,0,1083,0,0,
2021-May-15,754,0,1084,0,0,
2021-May-16,754,0,1085,0,0,
2021-May-17,754,0,1086,0,0,
2021-May-18,754,0,1087,0,0,
2021-May-19,756,0,1084,0,0,
2021-May-20,756,0,1085,0,0,
2021-May-21,756,0,1086,0,0,
2021-May-22,756,0,1087,0,0,
2021-May-23,756,0,1088,0,0,
2021-May-24,756,2,1089,0,0,
2021-May-25,754,0,1094,0,0,
2021-May-26,754,0,1095,0,0,
2021-May-27,755,0,1093,0,0,
2021-May-28,755,0,1094,0,0,
2021-May-29,755,0,1095,0,0,
